sample-id	Location	Site layer	Site_layer	Site	Phasic_community	Type	Depth_group_new	Depth_cm	Depth_group_cm	Depth_layer	pH	Na	K	Sulfate	Nitrate	Phosphate	Remove
ERR2094451	Malaysia-Selangor	Rubroshorea uliginosa 0-4cm		Malaysia	Rubroshorea uliginosa	Freshwater	0-4cm	0			3.41						
ERR2094452	Malaysia-Selangor	Rubroshorea uliginosa 31-60cm		Malaysia	Rubroshorea uliginosa	Freshwater	31-60cm	45			3.51						
ERR2094453	Malaysia-Selangor	Rubroshorea uliginosa 90-120cm		Malaysia	Rubroshorea uliginosa	Freshwater	90-120cm	90			3.36						
ERR2094454	Malaysia-Selangor	Rubroshorea uliginosa 0-4cm		Malaysia	Rubroshorea uliginosa	Freshwater	0-4cm	0			3.41						
ERR2094455	Malaysia-Selangor	Rubroshorea uliginosa 31-60cm		Malaysia	Rubroshorea uliginosa	Freshwater	31-60cm	45			3.51						
ERR2094456	Malaysia-Selangor	Rubroshorea uliginosa 90-120cm		Malaysia	Rubroshorea uliginosa	Freshwater	90-120cm	90			3.36						
ERR2094457	Malaysia-Selangor	Rubroshorea uliginosa 0-4cm		Malaysia	Rubroshorea uliginosa	Freshwater	0-4cm	0			3.41						
ERR2094458	Malaysia-Selangor	Rubroshorea uliginosa 31-60cm		Malaysia	Rubroshorea uliginosa	Freshwater	31-60cm	45			3.51						
ERR2094459	Malaysia-Selangor	Rubroshorea uliginosa 90-120cm		Malaysia	Rubroshorea uliginosa	Freshwater	90-120cm	90			3.36						
ERR2094460	Malaysia-Selangor	Rubroshorea uliginosa 0-4cm		Malaysia	Rubroshorea uliginosa	Freshwater	0-4cm	0			3.41						
ERR2094461	Malaysia-Selangor	Rubroshorea uliginosa 31-60cm		Malaysia	Rubroshorea uliginosa	Freshwater	31-60cm	45			3.51						
ERR2094462	Malaysia-Selangor	Rubroshorea uliginosa 90-120cm		Malaysia	Rubroshorea uliginosa	Freshwater	90-120cm	90			3.36						
